"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "Markdown", "XML", "JavaScript React", "SCSS", "TypeScript React", "PostCSS", "comment", "blank", "total"
"e:\marketplace\pages\profile\[index].jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 10, 120
"e:\marketplace\pages\profile\edit.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 7, 118
"e:\marketplace\pages\test.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"e:\marketplace\pages\uploadPage\index.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 186, 9, 287
"e:\marketplace\postcss.config.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\marketplace\public\exit.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\marketplace\public\svg\bids.svg", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"e:\marketplace\public\svg\champ.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\marketplace\public\svg\creator.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"e:\marketplace\public\svg\exit.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\marketplace\public\svg\greenCheckmark.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\marketplace\public\svg\insta.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\marketplace\public\svg\leftArrow.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\marketplace\public\svg\lightning.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\marketplace\public\svg\love.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\marketplace\public\svg\no-photo.svg", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 0, 23
"e:\marketplace\public\svg\others.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"e:\marketplace\public\svg\pencil.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 0, 7
"e:\marketplace\public\svg\plus.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\marketplace\public\svg\pro.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\marketplace\public\svg\remove.svg", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 15
"e:\marketplace\public\svg\rightArrow.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\marketplace\public\svg\search.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\marketplace\public\svg\share.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\marketplace\public\svg\telegram.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\marketplace\public\svg\top.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\marketplace\public\svg\upArrow.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\marketplace\redux\slices\headerSlice.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"e:\marketplace\redux\slices\modalSlice.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"e:\marketplace\redux\slices\ss.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"e:\marketplace\redux\slices\uploadSlice.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 5, 46
"e:\marketplace\redux\store.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\marketplace\tailwind.config.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 1, 2, 46
"e:\marketplace\tsconfig.json", "JSON with Comments", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"e:\marketplace\types\mongodb.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\marketplace\utils\addURL.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6, 0, 12
"e:\marketplace\utils\checkEmail.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\marketplace\utils\checkUsername.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\marketplace\utils\createAccount.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"e:\marketplace\utils\getProfile.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
"e:\marketplace\utils\getThumb.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"e:\marketplace\utils\parseTittle.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"e:\marketplace\utils\updateProfileInfo.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"e:\marketplace\utils\updateProfilePhoto.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 4, 3, 54
"e:\marketplace\utils\uploadItem.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\marketplace\utils\uploadPhotos.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 8, 4, 44
"e:\marketplace\webpack.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 23, 21671, 53, 991, 13, 142, 2180, 21, 75, 130, 408, 396, 26103
